Price,Adj Close,Close,High,Low,Open,Volume,log_ret,sigma20
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,,
Date,,,,,,,,
2017-02-24,2367.340087890625,2367.340087890625,2367.340087890625,2352.8701171875,2355.72998046875,3832410000,0.0014922502320313669,0.05107399489094625
2017-02-27,2369.75,2369.75,2371.5400390625,2361.8701171875,2365.22998046875,3584680000,0.0010174652677337193,0.05037804598677969
2017-02-28,2363.639892578125,2363.639892578125,2367.7900390625,2358.9599609375,2366.080078125,4212460000,-0.002581706115194926,0.044909932115030735
2017-03-01,2395.9599609375,2395.9599609375,2400.97998046875,2380.1298828125,2380.1298828125,4347630000,0.013581211083725009,0.05957606840691848
2017-03-02,2381.919921875,2381.919921875,2394.75,2380.169921875,2394.75,3824030000,-0.005877116972104801,0.06594872709779823
2017-03-03,2383.1201171875,2383.1201171875,2383.889892578125,2375.389892578125,2380.919921875,3556670000,0.0005037503685345612,0.06596975422570202
2017-03-06,2375.31005859375,2375.31005859375,2378.800048828125,2367.97998046875,2375.22998046875,3251800000,-0.0032826227635656124,0.06587353747199788
2017-03-07,2368.389892578125,2368.389892578125,2375.1201171875,2365.510009765625,2370.739990234375,3526300000,-0.002917625902089327,0.0665077871080095
2017-03-08,2362.97998046875,2362.97998046875,2373.090087890625,2361.010009765625,2369.81005859375,3814080000,-0.0022868279640642086,0.0677319243581635
2017-03-09,2364.8701171875,2364.8701171875,2369.080078125,2354.5400390625,2363.489990234375,3718450000,0.0007995756127661124,0.06771691185140248
2017-03-10,2372.60009765625,2372.60009765625,2376.860107421875,2363.0400390625,2372.52001953125,3434400000,0.00326333970585857,0.06629650471152126
2017-03-13,2373.469970703125,2373.469970703125,2374.419921875,2368.52001953125,2371.56005859375,3166650000,0.0003665656191698119,0.0658948143516964
2017-03-14,2365.449951171875,2365.449951171875,2368.550048828125,2358.179931640625,2368.550048828125,3173760000,-0.003384748980891139,0.06603356174818555
2017-03-15,2385.260009765625,2385.260009765625,2390.010009765625,2368.93994140625,2370.340087890625,3909490000,0.008339879124686256,0.07026174121032622
